[18:34:52 PM]	=============== Start Trace ===============
[19:15:27 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8250_sec.ocq)
[19:15:27 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8250_sec.hho)
[19:15:27 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8251_sec.objt)
[19:15:27 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8251_sec.eff)
[19:15:27 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8251_sec.ocq)
[19:15:27 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8251_sec.hho)
[19:15:27 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8378_sec.objt)
[19:15:27 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8378_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8378_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8378_sec.hho)
[19:15:28 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8379_sec.objt)
[19:15:28 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8379_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8379_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8379_sec.hho)
[19:15:28 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8252_sec.objt)
[19:15:28 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8252_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8252_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8252_sec.hho)
[19:15:28 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8253_sec.objt)
[19:15:28 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8253_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8253_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8253_sec.hho)
[19:15:28 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8380_sec.objt)
[19:15:28 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8380_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8380_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8380_sec.hho)
[19:15:28 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8381_sec.objt)
[19:15:28 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8381_sec.eff)
[19:15:28 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8381_sec.ocq)
[19:15:28 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8381_sec.hho)
[19:15:29 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8254_sec.objt)
[19:15:29 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8254_sec.eff)
[19:15:29 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8254_sec.ocq)
[19:15:29 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8254_sec.hho)
[19:15:29 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8255_sec.objt)
[19:15:29 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8255_sec.eff)
[19:15:29 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8255_sec.ocq)
[19:15:29 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8255_sec.hho)
[19:15:29 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8382_sec.objt)
[19:15:29 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8382_sec.eff)
[19:15:29 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8382_sec.ocq)
[19:15:29 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8382_sec.hho)
[19:15:29 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8383_sec.objt)
[19:15:29 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8383_sec.eff)
[19:15:29 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8383_sec.ocq)
[19:15:29 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8383_sec.hho)
[19:15:30 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8256_sec.objt)
[19:15:30 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8256_sec.eff)
[19:15:30 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8256_sec.ocq)
[19:15:30 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8256_sec.hho)
[19:15:30 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8257_sec.objt)
[19:15:30 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8257_sec.eff)
[19:15:30 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8257_sec.ocq)
[19:15:30 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8257_sec.hho)
[19:15:34 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8384_sec.objt)
[19:15:34 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8384_sec.eff)
[19:15:34 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8384_sec.ocq)
[19:15:34 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8384_sec.hho)
[19:15:36 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8385_sec.objt)
